Ca
35
12
15
12
6
13
13
9
12
20
16
5
13
5
14
12
6
6
6
13
8
14
12
15
6
13
12
6
11
13
13
42
6
9
8
14
13
15
14
14
7
9
5
8
12
17
15
14
12
17
26
9
9
10
7
10
5
14
9
18
32
24
20
15
40
35
38
30
39
35
35
38
5
30
9
15
10
21
6
8
8
9
14
8
9
10
7
9
7
9
14
11
5
7
9
12
7
7
9
