Ca
10
8
12
14
44
9
8
11
13
7
11
13
9
7
15
13
13
13
9
18
15
15
25
14
12
15
9
8
9
11
10
15
12
11
12
9
6
8
10
9
7
13
20
16
16
14
14
12
14
14
11
16
10
15
15
8
8
12
13
20
14
21
14
8
10
11
7
7
6
5
4
7
7
6
6
8
10
10
9
13
17
11
12
8
6
5
8
7
6
25
11
10
9
13
24
17
8
15
18
12
19
12
20
17
19
6
10
9
18
26
18
19
12
12
17
14
11
13
11
12
11
13
13
26
32
19
7
21
25
7
8
9
12
9
10
12
8
5
7
10
7
10
15
11
22
8
17
9
11
16
14
20
27
24
27
22
20
18
13
12
32
9
13
28
39
9
39
32
28
30
27
14
18
8
16
15
13
6
31
26
25
20
31
27
42
34
43
31
38
6
33
9
36
43
46
46
7
4
12
39
10
10
18
12
5
7
9
44
8
7
9
14
16
15
21
10
16
18
13
7
10
5
19
9
10
8
7
5
15
11
21
12
8
9
8
8
20
7
12
16
21
15
33
11
25
4
12
9
18
10
19
6
6
9
8
13
24
9
11
18
13
13
13
11
15
11
14
26
4
7
9
11
13
9
6
17
10
9
13
7
7
11
7
13
8
8
35
11
10
9
17
24
18
7
20
9
10
9
14
7
3
7
10
9
10
5
