spc.508,spc.730,spc.736,spc.808,spc.862,spc.940,spc.1198,spc.1450,spc.1552,spc.1648
33282383,18990939,18861676,18316770,18424806,17689327,15792717,15682787,15375579,15081580
33432369,19035374,18908036,18412647,18582701,17898444,16039857,16037669,15661105,15379893
30585659,16907221,16793171,16267328,16287002,15613372,14000295,13924869,13699882,13502977
32251101,18254408,18123049,17540519,17614740,16881005,14733827,14578944,14293394,14044720
31330268,17268636,17142360,16599056,16652293,15915035,13833090,13670557,13353835,13090764
31968878,17324746,17193350,16667383,16735154,16001653,13967021,13847145,13533336,13291742
30835878,16132554,16008340,15548562,15661816,14972866,13058768,12973670,12692694,12468241
31124979,16693660,16570207,16046269,16104814,15389025,13463059,13273262,12965485,12724621
29775112,15021368,14892517,14383725,14500248,13838917,11874421,11808995,11558713,11334465
30613884,16248788,16122475,15573832,15627719,14960552,13094508,13028672,12714962,12478212
30201420,15788789,15661503,15119748,15171071,14472109,12563611,12533970,12265829,12074037
30449372,16320833,16203005,15753722,15834408,15160461,13304684,13210382,12889332,12713914
29216190,17923626,17818020,17170765,17084499,16529680,14723777,14372787,14018237,13796623
28169586,16581829,16460310,15782419,15709024,15131444,13289275,13029356,12671696,12461932
29702183,15935467,15817948,15263230,15283605,14608194,12752169,12572648,12282796,12063098
31895609,17855208,17740128,17254254,17339646,16650712,14626942,14430450,14117160,13872209
32005951,18133206,18014011,17511534,17585711,16887776,14901961,14673340,14371658,14105561
32661191,19301346,19173689,18515353,18502916,17766039,15812043,15614240,15316900,15037131
32236495,18406414,18288603,17783007,17866162,17166284,15171786,15002225,14707808,14451962
30426367,17008492,16896346,16353439,16403877,15767594,14008589,13912446,13653251,13515910
28345669,15913610,15789551,15161566,15226838,14849880,13356985,13203995,12949068,12722117
33940662,20218269,20143293,20144353,20593506,20406029,19643496,20295285,20334022,20379325
31266334,16073343,15950300,15498593,15632635,14967142,13055467,13043292,12736483,12496826
33081892,18848307,18726721,18202154,18261786,17563650,15518110,15426491,15044232,14754133
32977399,19037670,18923498,18481701,18562063,17871691,15965425,15755005,15537893,15271216
30784017,17194646,17069487,16439961,16414256,15672758,13609898,13391073,13060124,12794115
32491138,18560848,18434031,17823117,17809535,17081987,14945999,14645727,14300325,14038166
30740371,17003777,16881511,16310154,16364737,15674038,13498349,13335256,13017759,12757135
30751839,18845508,18717898,17940470,17868808,17300952,15408185,15094871,14711132,14407817
29927157,16451487,16324068,15644873,15582052,14860950,12894026,12690136,12366957,12151715
30895471,16673541,16557448,16016911,16029279,15263941,13190341,13059173,12666565,12409393
28860549,15667848,15547950,14937704,14909840,14290224,12399313,12247936,11899672,11651849
29899263,17034372,16909036,16277939,16310493,15723738,13879855,13756227,13394003,13122401
32186719,17749102,17618537,17012489,17039950,16219628,13895661,13842760,13373348,13117303
31584047,18229164,18092993,17291165,17115583,16283978,14094439,13818115,13458567,13186355
30433458,16857688,16737609,16176815,16175750,15508583,13578432,13336284,13041740,12801326
30962087,17506021,17382065,16811554,16815233,16122603,14131841,13864617,13563802,13311608
27904227,16626368,16504593,15839729,15843783,15455302,13899759,13819412,13427773,13196138
30918743,17112236,16995590,16512021,16542997,15849925,13993140,13837684,13565146,13347888
31727542,16800114,16666768,16076856,16139925,15353259,13311336,13197901,12943109,12747610
34036625,20065989,19962007,19819605,20228489,19775090,18395748,18912496,18976682,18990102
32510516,19699450,19579619,18924055,18847359,18109453,16084943,15773030,15471925,15200812
29110419,14660366,14552246,14070310,14135805,13487808,11487688,11298232,11036332,10868083
29176947,15299925,15184747,14693180,14843369,14255038,12126601,11943003,11638816,11373198
28846136,15432086,15309834,14630587,14673934,14046202,11849020,11619723,11330527,11113467
31194545,17261848,17145060,16598873,16616034,15898120,14079694,13989126,13757380,13555362
32505329,18478449,18348029,17742876,17738128,16986916,15139260,14992968,14693970,14455735
31501559,17518032,17388383,16823910,16989545,16308561,13976248,13767199,13433726,13144159
33073442,20012311,19884615,19173889,19096122,18302404,16144280,15741375,15396941,15140382
31883228,18610324,18492735,17924794,17932883,17238005,15371858,15145855,14915286,14700679
31194994,17964612,17836067,17161630,17079295,16287355,14264525,13883236,13532454,13223147
30801005,17911946,17785629,17112572,17001381,16219490,14265778,13835812,13526010,13244727
30864035,17919136,17788220,17063888,16979052,16173938,13961196,13500702,13129858,12818667
31722753,17827343,17702987,17065127,17108500,16381689,14284384,13991898,13731385,13479272
31754780,17067915,16966410,16734506,17017200,16365120,14440111,14599704,14420433,14299747
32968256,19447938,19356094,19232712,19601365,19363253,18238492,18805015,18846608,18899850
35527844,21409160,21305229,21220798,21685169,21359808,19970645,20768659,20708114,20733385
32401872,17456305,17361810,17376757,17919461,17819815,16388736,17035135,17024689,17088503
29740573,15784188,15677813,15427095,15725323,15325063,13840264,14082337,13953508,13874006
32819653,18861779,18761894,18629735,19042362,18792317,17693935,18064106,18040528,17930019
32493332,19179155,19083006,18708116,18811817,18350848,17121006,17121624,16978364,16875727
32750820,17661703,17539290,17040363,17099145,16400154,14736359,14663406,14451808,14231547
31372026,17391454,17283774,16759085,16787395,16205577,14870488,14742956,14592537,14427320
32115891,17758356,17631788,17066491,17063601,16259541,14246218,14005744,13685548,13455310
32271490,18076884,17948006,17335346,17298428,16550574,14681137,14390717,14070785,13831271
32984746,19225652,19095207,18421076,18382703,17608463,15492140,15208139,14885769,14630278
31870697,18966310,18862039,18385558,18401491,17786059,16120996,15625031,15341358,15070807
27574559,16733866,16615636,15910152,15752962,15124607,13130451,12692246,12306437,12027054
31851767,16796551,16660500,16149118,16334371,15695144,13744145,13772237,13444534,13204431
28702424,16622690,16498221,15699874,15572099,14932328,13081713,12726449,12449466,12181069
30138527,17609036,17494396,16871579,16903106,16256870,14075257,13680035,13367116,13091616
30341270,16566535,16452374,16002617,16264368,15884978,14126151,14170727,13936469,13757777
29316544,16353509,16232406,15620942,15723313,15271040,13720698,13655278,13449790,13283175
28484080,15613863,15488444,14921410,15039719,14562044,12597788,12601550,12231401,12013686
32210203,17968210,17858347,17725044,18149657,17772535,16711520,17258691,17208896,17113175
30775778,17071567,16959759,16453624,16508324,15876160,14190466,14001402,13796952,13618284
31511540,17030396,16918843,16779557,17216100,16641815,14174623,14346334,14271724,14224571
27441053,15824164,15710381,15005941,14915727,14311362,12315430,11929481,11640944,11447588
30777468,16938343,16804957,16076680,16031941,15275761,13062781,12801176,12459167,12192848
30043528,16663674,16534355,15782869,15694561,14978167,13027224,12808820,12533635,12339200
31082765,17391615,17276752,16691300,16716392,16042792,14262172,14079925,13759181,13521631
32016535,17489695,17372520,16971330,17214237,16564382,14594950,14764923,14506497,14330144
28584510,16462645,16346601,15704290,15667808,15148481,13469908,13227478,12901200,12649278
32862257,19819258,19725802,19467877,19810925,19496586,18155724,18449802,18439507,18442995
33253907,19662816,19563403,19288755,19549313,19120513,17624287,17762469,17723196,17655482
32777225,18634807,18534941,18346443,18670380,18307438,16777941,17241250,17193038,17166387
35046333,21216158,21118687,20943072,21287114,20920448,19318343,19726273,19751963,19821129
30552344,18326496,18193321,17390245,17158942,16327701,14184119,13676225,13292982,12994894
34986356,20476030,20377985,20300083,20703756,20194201,18465905,18880465,18868595,18844261
32004606,18630603,18511279,17918063,17877422,17137540,15230360,14908225,14604676,14353334
28971076,17296022,17174842,16450678,16343420,15705848,13792324,13486522,13114346,12862912
30896390,17084491,16966617,16421676,16414731,15697998,13836020,13641375,13391716,13119249
32932766,19974101,19879607,19832752,20238157,19807295,18238952,18835619,18963508,19034337
31104820,17357745,17246062,16827633,16991021,16383741,14605450,14550817,14314811,14090923
30820949,16972140,16846153,16220859,16265227,15519688,13179892,12796519,12463073,12162497
35893460,21489863,21376748,21247289,21653208,21040235,19143976,19719508,19673779,19701985
34168444,20243925,20147388,20101774,20617320,20324661,18369467,18960799,18880878,18949679
29002682,15982360,15851057,15001174,14874817,14217480,12489381,12334576,12013850,11811627
35945056,22893966,22795171,22613640,22982644,22613248,21292620,21813252,21850816,21849599
34582114,20293578,20190602,20044539,20446045,19855000,17993879,18488226,18463790,18474983
33462985,19792287,19693615,19430027,19727644,19471673,18213988,18563146,18631410,18642671
33979539,20272514,20174852,20087002,20515926,20213680,18788844,19247989,19260049,19322528
33048516,19027735,18929888,18792257,19208447,19088920,18100629,18708849,18717305,18780232
31210257,17045785,16946433,16733052,17026311,16579509,15344398,15719026,15730003,15679385
34655487,20978359,20877025,20589373,20914872,20606533,19438978,19766187,19719801,19641848
29741132,15577012,15457274,14923896,15044714,14423733,12385074,12175460,11889404,11646181
