spc.508,spc.730,spc.736,spc.808,spc.862,spc.940,spc.1198,spc.1450,spc.1552,spc.1648
34039495,20620857,20522119,20310648,20645420,20299162,19147806,19619636,19633481,19733988
35938625,21822499,21723816,21587869,21931138,21452641,20155153,20803163,20797772,20840097
34091506,20095539,20003932,19925527,20273237,20000869,18908940,19490991,19559974,19626788
35637938,21260227,21157782,21017339,21384391,21003173,19623459,20312100,20379336,20422950
26650744,16023798,15916593,15298356,15317465,15041970,13995439,13981896,13734031,13564145
31649636,18669463,18574151,18325441,18642803,18460414,17316935,17602562,17586435,17507731
28971556,16573980,16457866,15847689,15872171,15437685,14155508,14147644,13936249,13784427
31101247,17927216,17796222,17060383,17069343,16550760,15045783,15199679,14924454,14728472
32854438,18896963,18768778,18150978,18124298,17415929,15618618,15463831,15190642,14937973
32977313,19686246,19583618,19277551,19570703,19439419,18622696,18897467,18850783,18778345
31036133,17149681,17042886,16540016,16552963,15904316,14376777,14274035,14066581,13873949
29842928,16534212,16435764,16030382,16073965,15505171,14156710,14049298,13942208,13755550
29352871,16139287,16033848,15449328,15361047,14697232,13249426,13047671,12878341,12719268
29779126,16108349,15997950,15447254,15468630,14919610,13622560,13581632,13419237,13262727
29253633,17036543,16918362,16140045,16029760,15402162,13606902,13372525,13108471,12888272
32388348,18804251,18690685,18169388,18288708,17878642,16555567,16622024,16512484,16389456
30653982,16926704,16795521,16160342,16172872,15530133,13807170,13693739,13508379,13300803
28505208,16668334,16558022,15902187,15835966,15255376,13340477,13086176,12835166,12648559
26337930,13861888,13738760,12970045,12927615,12537367,11186156,11144133,10819808,10585746
30009834,15812431,15678806,15062751,15136811,14502670,12703566,12675332,12393401,12211770
29413529,15602219,15464112,14746345,14758647,14102936,12136611,12035043,11767576,11570294
30619275,18042181,17907687,17159557,17182223,16704306,15031270,14926726,14677506,14489420
31788166,18718829,18580203,17767349,17619707,16806933,14580124,14163316,13805123,13523962
31852722,18533146,18391190,17617931,17504037,16685835,14561128,14201412,13823952,13540268
29567879,16191907,16069528,15445780,15482279,14948365,13433180,13447265,13246171,13091474
27022039,15067492,14943391,14185327,14168266,13690833,12069510,11978362,11604428,11337954
30971242,17916626,17777687,17011071,16888710,16069296,13833404,13536915,13151756,12863883
32616497,17836551,17710886,17246745,17502025,17048368,15402878,15626609,15216899,15000225
28989681,16446669,16333652,15735368,15780817,15239264,13615264,13522282,13275208,13071656
30449165,17347597,17235838,16682962,16782158,16382744,15037435,15072580,14923964,14760802
30605989,17882687,17761819,17129208,17105616,16501910,14701456,14514008,14269891,14035464
